model,t1_val_auc,t1_val_acc,t1_test_auc,t1_test_acc,t2_val_auc,t2_val_acc,t2_test_auc,t2_test_acc
CatBoost_r128_BAG_L2,0.6330882352941176,0.581081081081081,0.8106060606060607,0.7534246575342466,,,,
LightGBM_r121_BAG_L1,0.6330882352941176,0.5675675675675675,0.7871212121212121,0.7534246575342466,,,,
NeuralNetFastAI_r191_BAG_L2,0.5875,0.581081081081081,0.8045454545454546,0.6712328767123288,0.6786764705882353,0.6621621621621622,0.7204545454545455,0.7123287671232876
NeuralNetFastAI_r160_BAG_L1,0.6330882352941176,0.5945945945945946,0.7628787878787878,0.7397260273972602,,,,
NeuralNetFastAI_r134_BAG_L1,0.6323529411764706,0.6216216216216216,0.7174242424242424,0.6712328767123288,,,,
ExtraTreesGini_BAG_L2,0.6455882352941177,0.581081081081081,0.8041666666666667,0.821917808219178,0.6154411764705883,0.5945945945945946,0.675,0.6438356164383562
CatBoost_r137_BAG_L1,0.6308823529411764,0.5675675675675675,0.8348484848484848,0.7671232876712328,0.6294117647058823,0.527027027027027,0.7303030303030302,0.684931506849315
RandomForest_r34_BAG_L2,0.6301470588235294,0.5540540540540541,0.8295454545454546,0.726027397260274,,,,
CatBoost_r12_BAG_L2,0.6297794117647059,0.5945945945945946,0.8128787878787878,0.7808219178082192,,,,
RandomForest_r195_BAG_L1,0.6294117647058823,0.5945945945945946,0.768560606060606,0.7397260273972602,,,,
XGBoost_r22_BAG_L1,0.6286764705882353,0.5675675675675675,0.7674242424242425,0.684931506849315,,,,
CatBoost_r6_BAG_L2,0.6286764705882353,0.581081081081081,0.8151515151515152,0.7671232876712328,,,,
ExtraTreesEntr_BAG_L1,0.6316176470588236,0.581081081081081,0.7738636363636363,0.726027397260274,0.6231617647058824,0.6351351351351351,0.6348484848484848,0.6027397260273972
NeuralNetFastAI_r138_BAG_L1,0.6272058823529412,0.5540540540540541,0.712121212121212,0.6301369863013698,,,,
CatBoost_r143_BAG_L2,0.6272058823529412,0.5675675675675675,0.8098484848484849,0.7671232876712328,,,,
XGBoost_r98_BAG_L1,0.6264705882352941,0.5135135135135135,0.7909090909090909,0.7671232876712328,,,,
LightGBMLarge_BAG_L2,0.6154411764705882,0.6351351351351351,0.7916666666666666,0.726027397260274,0.6360294117647058,0.5405405405405406,0.7856060606060606,0.6712328767123288
CatBoost_r177_BAG_L2,0.6213235294117647,0.5675675675675675,0.8068181818181818,0.7808219178082192,0.6301470588235295,0.581081081081081,0.7227272727272728,0.6575342465753424
NeuralNetFastAI_r134_BAG_L2,0.6250000000000001,0.6621621621621622,0.8363636363636363,0.7671232876712328,,,,
ExtraTrees_r49_BAG_L1,0.625,0.6351351351351351,0.781060606060606,0.7534246575342466,,,,
XGBoost_r33_BAG_L1,0.6382352941176471,0.5540540540540541,0.7606060606060606,0.726027397260274,0.6110294117647059,0.5540540540540541,0.7053030303030303,0.6438356164383562
ExtraTrees_r42_BAG_L1,0.6209558823529412,0.5540540540540541,0.7875,0.7123287671232876,0.6275735294117648,0.6216216216216216,0.7,0.6575342465753424
LightGBM_r161_BAG_L1,0.6235294117647059,0.527027027027027,0.7818181818181819,0.726027397260274,,,,
NeuralNetFastAI_r100_BAG_L2,0.6235294117647059,0.6486486486486487,0.8136363636363636,0.7534246575342466,,,,
CatBoost_r49_BAG_L2,0.6235294117647059,0.5405405405405406,0.8401515151515152,0.7671232876712328,,,,
XGBoost_BAG_L1,0.6470588235294118,0.5540540540540541,0.7856060606060606,0.7397260273972602,0.5992647058823529,0.5540540540540541,0.7143939393939394,0.6301369863013698
CatBoost_r180_BAG_L1,0.6227941176470588,0.5540540540540541,0.7999999999999999,0.7397260273972602,,,,
RandomForest_r127_BAG_L2,0.6220588235294118,0.6081081081081081,0.7886363636363637,0.726027397260274,,,,
CatBoost_r69_BAG_L2,0.6220588235294118,0.6081081081081081,0.7977272727272727,0.7671232876712328,,,,
CatBoost_r180_BAG_L2,0.6213235294117647,0.5945945945945946,0.8106060606060607,0.7397260273972602,,,,
