rank_by_val,model,stack_level,val_auc,val_acc,test_auc,test_acc,n_val,n_test,fit_time,pred_time_val,can_infer
68,NeuralNetFastAI_r138_BAG_L1,1,0.6272058823529412,0.5540540540540541,0.712121212121212,0.6301369863013698,74,73,3.448429584503174,0.1029360294342041,True
69,CatBoost_r143_BAG_L2,2,0.6272058823529412,0.5675675675675675,0.8098484848484849,0.7671232876712328,74,73,9.69425916671753,0.5771903991699219,True
70,XGBoost_r98_BAG_L1,1,0.6264705882352941,0.5135135135135135,0.7909090909090909,0.7671232876712328,74,73,0.6108388900756836,0.1169476509094238,True
71,NeuralNetFastAI_r134_BAG_L2,2,0.6250000000000001,0.6621621621621622,0.8363636363636363,0.7671232876712328,74,73,12.9714195728302,0.6887466907501221,True
72,ExtraTreesGini_BAG_L1,1,0.625,0.6351351351351351,0.781060606060606,0.7534246575342466,74,73,0.6643598079681396,0.0882580280303955,True
73,ExtraTrees_r49_BAG_L1,1,0.625,0.6351351351351351,0.781060606060606,0.7534246575342466,74,73,1.851677656173706,0.0745434761047363,True
74,NeuralNetFastAI_r100_BAG_L2,2,0.6235294117647059,0.6486486486486487,0.8136363636363636,0.7534246575342466,74,73,12.627362251281738,0.6506152153015137,True
75,LightGBM_r161_BAG_L1,1,0.6235294117647059,0.527027027027027,0.7818181818181819,0.726027397260274,74,73,0.6410384178161621,0.0282421112060546,True
76,CatBoost_r49_BAG_L2,2,0.6235294117647059,0.5405405405405406,0.8401515151515152,0.7671232876712328,74,73,8.606060266494751,0.5552527904510498,True
77,CatBoost_r180_BAG_L1,1,0.6227941176470588,0.5540540540540541,0.7999999999999999,0.7397260273972602,74,73,1.6423461437225342,0.0432014465332031,True
78,CatBoost_r69_BAG_L2,2,0.6220588235294118,0.6081081081081081,0.7977272727272727,0.7671232876712328,74,73,8.89933180809021,0.5701010227203369,True
79,CatBoost_r9_BAG_L1,1,0.6220588235294118,0.5540540540540541,0.7825757575757576,0.7397260273972602,74,73,1.9665093421936035,0.0329108238220214,True
80,RandomForest_r127_BAG_L2,2,0.6220588235294118,0.6081081081081081,0.7886363636363637,0.726027397260274,74,73,8.381896257400513,0.5693330764770508,True
81,ExtraTreesEntr_BAG_L2,2,0.6213235294117648,0.581081081081081,0.8234848484848486,0.821917808219178,74,73,7.947974920272827,0.5934293270111084,True
82,CatBoost_r180_BAG_L2,2,0.6213235294117647,0.5945945945945946,0.8106060606060607,0.7397260273972602,74,73,11.259886026382446,0.573357105255127,True
83,CatBoost_r177_BAG_L2,2,0.6213235294117647,0.5675675675675675,0.8068181818181818,0.7808219178082192,74,73,9.174987554550173,0.5539035797119141,True
84,CatBoost_r49_BAG_L1,1,0.6213235294117647,0.5675675675675675,0.8227272727272728,0.7534246575342466,74,73,0.9062485694885254,0.0417351722717285,True
85,ExtraTrees_r42_BAG_L1,1,0.6209558823529412,0.5540540540540541,0.7875,0.7123287671232876,74,73,0.5939218997955322,0.0599219799041748,True
86,CatBoost_r5_BAG_L2,2,0.6205882352941177,0.5945945945945946,0.8151515151515152,0.7534246575342466,74,73,8.920322179794312,0.569136381149292,True
87,LightGBM_r15_BAG_L1,1,0.6183823529411764,0.5540540540540541,0.7742424242424242,0.6712328767123288,74,73,0.5797388553619385,0.0402216911315918,True
88,NeuralNetFastAI_r127_BAG_L1,1,0.6176470588235293,0.5675675675675675,0.7333333333333334,0.6986301369863014,74,73,3.5820114612579346,0.0994892120361328,True
89,CatBoost_r50_BAG_L1,1,0.6161764705882353,0.5540540540540541,0.8204545454545454,0.7808219178082192,74,73,1.0187623500823977,0.0404455661773681,True
90,XGBoost_r34_BAG_L1,1,0.6154411764705883,0.5135135135135135,0.7666666666666667,0.7123287671232876,74,73,0.5860757827758789,0.1064822673797607,True
91,CatBoost_r198_BAG_L2,2,0.6154411764705883,0.581081081081081,0.825,0.7808219178082192,74,73,9.54330587387085,0.5553405284881592,True
92,LightGBM_r15_BAG_L2,2,0.6154411764705883,0.6216216216216216,0.7931818181818182,0.7534246575342466,74,73,8.252959251403809,0.5581364631652832,True
93,LightGBMLarge_BAG_L2,2,0.6154411764705882,0.6351351351351351,0.7916666666666666,0.726027397260274,74,73,8.328867435455322,0.5577161312103271,True
94,NeuralNetFastAI_r143_BAG_L2,2,0.6147058823529412,0.5675675675675675,0.8348484848484847,0.8082191780821918,74,73,12.32981014251709,0.6764671802520752,True
95,NeuralNetFastAI_r191_BAG_L1,1,0.6147058823529411,0.5405405405405406,0.6977272727272729,0.5753424657534246,74,73,3.0899391174316406,0.1395869255065918,True
96,CatBoost_r5_BAG_L1,1,0.6132352941176471,0.5675675675675675,0.8356060606060607,0.7534246575342466,74,73,0.828362226486206,0.0404028892517089,True
97,ExtraTrees_r172_BAG_L1,1,0.6132352941176471,0.5945945945945946,0.8257575757575758,0.7945205479452054,74,73,0.6721370220184326,0.0435738563537597,True
98,CatBoost_r167_BAG_L1,1,0.6125,0.5405405405405406,0.8083333333333332,0.726027397260274,74,73,1.3850927352905271,0.0225427150726318,True
99,CatBoost_r12_BAG_L1,1,0.6125,0.5405405405405406,0.8015151515151516,0.7534246575342466,74,73,2.013657331466675,0.0187463760375976,True
100,NeuralNetFastAI_r95_BAG_L2,2,0.6124999999999999,0.6621621621621622,0.796969696969697,0.7534246575342466,74,73,10.876126050949097,0.659663200378418,True
101,RandomForest_r16_BAG_L2,2,0.6121323529411765,0.6216216216216216,0.7818181818181816,0.726027397260274,74,73,8.349160432815552,0.5860087871551514,True
102,CatBoost_r69_BAG_L1,1,0.6117647058823529,0.5540540540540541,0.8212121212121212,0.7671232876712328,74,73,0.9622154235839844,0.0147805213928222,True
103,ExtraTrees_r4_BAG_L2,2,0.6110294117647059,0.5540540540540541,0.8340909090909091,0.7671232876712328,74,73,8.338885068893433,0.5684237480163574,True
104,CatBoost_r143_BAG_L1,1,0.6102941176470588,0.5405405405405406,0.7977272727272727,0.7123287671232876,74,73,1.3681128025054932,0.0161418914794921,True
105,CatBoost_r70_BAG_L1,1,0.6095588235294118,0.5540540540540541,0.8045454545454547,0.7534246575342466,74,73,1.3212454319000244,0.0298068523406982,True
106,LightGBM_r42_BAG_L1,1,0.6095588235294118,0.5945945945945946,0.8143939393939393,0.7671232876712328,74,73,0.6458261013031006,0.0304667949676513,True
107,NeuralNetFastAI_r103_BAG_L1,1,0.6095588235294118,0.5405405405405406,0.7704545454545454,0.6986301369863014,74,73,3.14603853225708,0.0724091529846191,True
108,CatBoost_BAG_L1,1,0.6088235294117648,0.5405405405405406,0.7962121212121213,0.726027397260274,74,73,1.1139905452728271,0.2816805839538574,True
109,CatBoost_r177_BAG_L1,1,0.6088235294117648,0.5405405405405406,0.8257575757575757,0.726027397260274,74,73,1.0773980617523191,0.025897741317749,True
110,CatBoost_r128_BAG_L1,1,0.6088235294117648,0.5540540540540541,0.7893939393939393,0.726027397260274,74,73,2.0896658897399902,0.0220289230346679,True
111,NeuralNetFastAI_r11_BAG_L1,1,0.6080882352941177,0.5135135135135135,0.7151515151515152,0.5205479452054794,74,73,3.277573823928833,0.0944435596466064,True
112,CatBoost_r163_BAG_L2,2,0.6080882352941177,0.6081081081081081,0.8128787878787879,0.7397260273972602,74,73,9.058999300003052,0.5550119876861572,True
113,NeuralNetFastAI_r4_BAG_L2,2,0.6066176470588236,0.5675675675675675,0.8356060606060606,0.7534246575342466,74,73,10.724378824234009,0.592371940612793,True
114,CatBoost_r13_BAG_L1,1,0.6066176470588236,0.5540540540540541,0.7856060606060606,0.7534246575342466,74,73,3.2984797954559326,0.0959582328796386,True
115,RandomForest_r166_BAG_L2,2,0.6066176470588235,0.6081081081081081,0.8238636363636364,0.7808219178082192,74,73,8.499393939971924,0.5983669757843018,True
116,XGBoost_r194_BAG_L2,2,0.6066176470588235,0.5945945945945946,0.7787878787878788,0.726027397260274,74,73,8.155032396316528,0.5983247756958008,True
117,XGBoost_BAG_L2,2,0.6066176470588235,0.5675675675675675,0.7590909090909091,0.726027397260274,74,73,8.178844928741455,0.5887737274169922,True
118,LightGBM_r131_BAG_L1,1,0.6051470588235294,0.5540540540540541,0.7795454545454545,0.7123287671232876,74,73,0.5284767150878906,0.0214169025421142,True
119,CatBoost_r6_BAG_L1,1,0.6036764705882354,0.581081081081081,0.8113636363636363,0.7808219178082192,74,73,0.9738726615905762,0.0213949680328369,True
