model,score_val,eval_metric,pred_time_val,fit_time,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
XGBoost_r95_BAG_L1,0.6397058823529412,roc_auc,0.05999302864074707,0.5754728317260742,0.05999302864074707,0.5754728317260742,1,True,85
NeuralNetFastAI_r187_BAG_L1,0.6397058823529412,roc_auc,0.16745328903198242,4.475939989089966,0.16745328903198242,4.475939989089966,1,True,84
NeuralNetFastAI_r88_BAG_L1,0.6389705882352942,roc_auc,0.0891420841217041,4.315424203872681,0.0891420841217041,4.315424203872681,1,True,55
RandomForest_r127_BAG_L1,0.6389705882352941,roc_auc,0.03169536590576172,2.2389419078826904,0.03169536590576172,2.2389419078826904,1,True,47
XGBoost_r33_BAG_L1,0.638235294117647,roc_auc,0.14370322227478027,0.671698808670044,0.14370322227478027,0.671698808670044,1,True,16
CatBoost_r13_BAG_L2,0.638235294117647,roc_auc,0.5641574859619141,12.375785112380981,0.026293516159057617,4.773444414138794,2,True,108
NeuralNetFastAI_r69_BAG_L1,0.6375000000000001,roc_auc,0.11820197105407715,3.12962007522583,0.11820197105407715,3.12962007522583,1,True,68
RandomForest_r15_BAG_L1,0.6375,roc_auc,0.044097185134887695,2.160963535308838,0.044097185134887695,2.160963535308838,1,True,65
CatBoost_r137_BAG_L2,0.6375,roc_auc,0.554633617401123,8.90752911567688,0.0167696475982666,1.3051884174346924,2,True,106
CatBoost_r86_BAG_L2,0.636764705882353,roc_auc,0.578087329864502,11.225836515426636,0.04022336006164551,3.6234958171844482,2,True,130
NeuralNetFastAI_r95_BAG_L1,0.636029411764706,roc_auc,0.07407712936401367,3.139352798461914,0.07407712936401367,3.139352798461914,1,True,39
NeuralNetFastAI_r4_BAG_L1,0.6352941176470589,roc_auc,0.06929731369018555,2.8827364444732666,0.06929731369018555,2.8827364444732666,1,True,79
XGBoost_r31_BAG_L1,0.6352941176470588,roc_auc,0.0777742862701416,0.5897986888885498,0.0777742862701416,0.5897986888885498,1,True,62
XGBoost_r89_BAG_L1,0.6345588235294118,roc_auc,0.10791468620300293,0.514542818069458,0.10791468620300293,0.514542818069458,1,True,24
ExtraTrees_r178_BAG_L1,0.6345588235294117,roc_auc,0.0441899299621582,1.6866793632507324,0.0441899299621582,1.6866793632507324,1,True,60
NeuralNetFastAI_r69_BAG_L2,0.6330882352941177,roc_auc,0.604724645614624,10.671461343765259,0.06686067581176758,3.0691206455230713,2,True,156
LightGBM_r121_BAG_L1,0.6330882352941176,roc_auc,0.05128049850463867,0.6544022560119629,0.05128049850463867,0.6544022560119629,1,True,71
NeuralNetFastAI_r160_BAG_L1,0.6330882352941176,roc_auc,0.08984684944152832,3.0002787113189697,0.08984684944152832,3.0002787113189697,1,True,63
CatBoost_r128_BAG_L2,0.6330882352941176,roc_auc,0.570976972579956,12.876802682876587,0.03311300277709961,5.274461984634399,2,True,139
NeuralNetFastAI_r134_BAG_L1,0.6323529411764707,roc_auc,0.13940715789794922,4.042552471160889,0.13940715789794922,4.042552471160889,1,True,48
